epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,lr
1,1.1062390846865517,0.4642857142857143,1.2698396444320679,0.3333333333333333,1.277955989042918,0.3333333333333333,0.0005998519681097194
2,0.9802103340625763,0.5119047619047619,1.0822033484776814,0.5,1.3029404679934184,0.3888888888888889,0.0005994080185284814
3,0.9762342614786965,0.5595238095238095,1.093310554822286,0.5555555555555556,1.034792145093282,0.5833333333333334,0.000598668589380924
4,0.9424547340188708,0.5595238095238095,1.167105217774709,0.5833333333333334,1.0335066517194111,0.4722222222222222,0.0005976344103943434
5,0.9210320029939923,0.625,1.011761983235677,0.6388888888888888,1.0207075874010723,0.5,0.0005963065021785413
6,0.8898277069841113,0.5773809523809523,1.2492706775665283,0.3888888888888889,1.0109357635180156,0.5555555555555556,0.0005946861752186065
7,0.8479729209627423,0.6011904761904762,0.9133926033973694,0.5833333333333334,0.9543053309122721,0.6666666666666666,0.0005927750285816241
8,0.8437658846378326,0.6666666666666666,1.0405244032541912,0.6388888888888888,0.9623323281606039,0.6388888888888888,0.0005905749483385891
9,0.8257347856249128,0.6726190476190477,1.0402952829996746,0.6666666666666666,0.9012978474299113,0.6111111111111112,0.0005880881057030827
10,0.8467191287449428,0.5714285714285714,1.1810022393862407,0.5277777777777778,0.9803310036659241,0.6111111111111112,0.0005853169548885458
11,0.8050889032227653,0.6666666666666666,0.9685969352722168,0.5277777777777778,0.9909616708755493,0.5833333333333334,0.0005822642306862675
12,0.758678002016885,0.6964285714285714,1.242896596590678,0.5277777777777778,1.0388758381207783,0.5833333333333334,0.0005789329457664752
13,0.7909346499613353,0.6845238095238095,1.179146538178126,0.5,1.2387539347012837,0.4722222222222222,0.0005753263877051941
14,0.8195956370660237,0.6547619047619048,1.1984302997589111,0.4722222222222222,1.2398322820663452,0.4444444444444444,0.0005714481157398058
15,0.8517306872776577,0.6904761904761905,1.1943105856577556,0.4444444444444444,0.9246970017751058,0.5555555555555556,0.0005673019572565103
16,0.8103665368897575,0.6190476190476191,1.1047918200492859,0.5833333333333334,0.9746559262275696,0.5555555555555556,0.000562892004013159
17,0.7319789060524532,0.6904761904761905,1.0998320976893108,0.5833333333333334,1.231961190700531,0.5555555555555556,0.000558222608101183
18,0.7074471116065979,0.75,0.8342705766359965,0.6944444444444444,1.062751015027364,0.6388888888888888,0.0005532983776506045
19,0.7025178926331657,0.7023809523809523,0.9411508838335673,0.75,1.0732460021972656,0.5,0.0005481241722823685
