epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,lr
1,1.1110769056138539,0.32142857142857145,1.0995514657762315,0.3333333333333333,1.100628097852071,0.3333333333333333,0.0009993147673772868
2,1.096306908698309,0.32142857142857145,1.0881015724605985,0.3611111111111111,1.0957598686218262,0.3333333333333333,0.0009972609476841365
3,1.0755303700764973,0.5119047619047619,1.0427749819225736,0.4444444444444444,1.0808842711978488,0.3611111111111111,0.0009938441702975688
4,1.059478685969398,0.40476190476190477,0.9923330545425415,0.4444444444444444,1.041911522547404,0.4444444444444444,0.0009890738003669028
5,1.0074824662435622,0.5059523809523809,0.9641242159737481,0.5555555555555556,1.0484486884540982,0.3611111111111111,0.0009829629131445341
6,0.9660852466310773,0.5178571428571429,0.9270849559042189,0.6111111111111112,1.0149174332618713,0.4444444444444444,0.0009755282581475769
7,0.8747975059917995,0.6190476190476191,0.9460794793234931,0.5833333333333334,1.0073171854019165,0.4722222222222222,0.0009667902132486009
8,0.7803596769060407,0.6130952380952381,1.0144381920496623,0.6388888888888888,0.9808999432457818,0.5277777777777778,0.0009567727288213005
9,0.7937573989232382,0.6726190476190477,0.9081907669703165,0.6111111111111112,0.8730690148141649,0.5555555555555556,0.0009455032620941839
10,0.7215746839841207,0.6904761904761905,1.0181207491291895,0.6666666666666666,0.9147154026561313,0.6666666666666666,0.0009330127018922195
11,0.6863385155087426,0.7202380952380952,0.9615852369202508,0.6666666666666666,0.9376622902022468,0.5833333333333334,0.0009193352839727121
12,0.6936420031956264,0.7380952380952381,1.052527195877499,0.5277777777777778,1.0824579530292087,0.4444444444444444,0.0009045084971874737
13,0.5767833051227388,0.7678571428571429,0.8862092693646749,0.7222222222222222,0.8524980015224881,0.6111111111111112,0.0008885729807284855
14,0.5191379132724944,0.7797619047619048,1.0858091182178922,0.6111111111111112,0.9256437222162882,0.6388888888888888,0.0008715724127386972
15,0.5338246694632939,0.7559523809523809,1.0703102615144517,0.6388888888888888,0.9846307039260864,0.5555555555555556,0.0008535533905932739
16,0.4753686558632624,0.8273809523809523,1.081476953294542,0.6388888888888888,0.88736582464642,0.6111111111111112,0.0008345653031794292
17,0.41894629455748056,0.8154761904761905,1.1175237099329631,0.6666666666666666,0.9171207083596123,0.5833333333333334,0.0008146601955249188
18,0.38347847972597393,0.8392857142857143,1.0448796252409618,0.7222222222222222,0.8795420858595107,0.5833333333333334,0.0007938926261462366
19,0.4113661114658628,0.8452380952380952,1.3715357449319627,0.5833333333333334,1.016668717066447,0.5833333333333334,0.0007723195175075136
20,0.37398875398295267,0.8511904761904762,1.1114003194702997,0.7222222222222222,0.9046199984020658,0.6388888888888888,0.00075
21,0.3646328037693387,0.8452380952380952,1.069036066532135,0.6666666666666666,0.8712445232603285,0.5833333333333334,0.0007269952498697733
22,0.3330063848268418,0.8630952380952381,1.2412549588415358,0.6388888888888888,0.9682892163594564,0.6388888888888888,0.0007033683215379002
23,0.3352131978386924,0.8690476190476191,1.1245379621783893,0.6388888888888888,0.8984386324882507,0.6944444444444444,0.0006791839747726503
24,0.3101203796409425,0.8809523809523809,1.2266136838330164,0.6666666666666666,0.9382233950826857,0.5833333333333334,0.0006545084971874737
25,0.28979540013131644,0.8809523809523809,1.155576099952062,0.7222222222222222,0.9311496019363403,0.6388888888888888,0.0006294095225512603
26,0.2396542075134459,0.9226190476190477,1.3239855931864843,0.6666666666666666,0.9394833246866862,0.6388888888888888,0.0006039558454088795
27,0.2332143159139724,0.9345238095238095,1.4490781327088673,0.6388888888888888,0.8614620235231187,0.6944444444444444,0.0005782172325201154
28,0.2318761476448604,0.9226190476190477,1.4609350396527185,0.6666666666666666,0.9668180677625868,0.6388888888888888,0.0005522642316338267
29,0.14879657186212994,0.9642857142857143,1.5126683115959167,0.6111111111111112,0.9921442932552762,0.6388888888888888,0.0005261679781214719
30,0.24742796378476278,0.875,1.6164447226458125,0.6944444444444444,0.9826827976438735,0.6666666666666666,0.0005000000000000001
31,0.16901244790781111,0.9404761904761905,1.5510989932550325,0.6388888888888888,1.0637873278723822,0.6111111111111112,0.00047383202187852816
